Episode,Score,Pipes_Surpassed,Epsilon,Mean_Score_Last_100
177,-210.70930816399647,0,0.19771543086172344,-397.8486317347373
178,-533.0101729481005,0,0.19713426853707416,-399.57429191078154
179,-173.8378997688551,0,0.19655310621242483,-396.46632024076666
180,-489.0127416833401,0,0.19597194388777556,-398.0923068531153
181,-441.56583521938535,0,0.19539078156312625,-397.159240513067
182,-680.6018385920852,0,0.19480961923847695,-401.6596223933947
183,-575.7532947715538,0,0.19422845691382767,-404.5130481625141
184,-178.11573950699233,0,0.19364729458917834,-403.30429912799366
185,-358.30174041436425,0,0.19306613226452907,-400.9124222300546
186,-644.6461119748726,0,0.19248496993987976,-401.06963391495896
187,-188.978764554252,0,0.19190380761523046,-399.97395703611534
188,-496.61649716317976,0,0.19132264529058118,-399.3774213432613
189,-495.77797149532785,0,0.19074148296593185,-401.2060914247309
190,-288.09845276664504,0,0.19016032064128258,-402.8374120915803
191,-340.7214512507936,0,0.18957915831663327,-400.8435307523958
192,-228.1832496414031,0,0.18899799599198397,-401.6398658816959
193,-122.42124473982255,0,0.18841683366733467,-399.15448449626143
194,-179.9306921704814,0,0.18783567134268536,-399.3352432894263
195,-240.06088612094914,0,0.18725450901803609,-397.64254783699323
196,-307.56116101581625,0,0.18667334669338678,-394.4694570008394
197,-635.8670416445906,0,0.18609218436873748,-397.1520072779026
198,-213.6678717512629,0,0.18551102204408818,-395.5115765574169
199,-435.9076927456498,0,0.18492985971943887,-396.88573005673396
200,-469.2276337214806,0,0.1843486973947896,-398.27084803802757
201,-678.5047066660426,0,0.18376753507014026,-399.97980390588435
202,-150.01839658406618,0,0.183186372745491,-397.1529495244016
203,-450.35914975064554,0,0.18260521042084168,-397.78235700555916
204,-175.71358254525057,0,0.18202404809619238,-395.81927404177054
205,-331.8306841742664,0,0.1814428857715431,-395.78651751670856
206,-655.8811821192002,0,0.18086172344689377,-397.9430595847265
207,-663.2409115963295,0,0.1802805611222445,-399.80941938657327
208,-554.5643060806506,0,0.1796993987975952,-398.6878473813634
209,-606.3323765474399,0,0.1791182364729459,-398.85342199411616
210,-67.29003854152654,0,0.17853707414829662,-395.47504365687934
211,-559.2713691786848,0,0.17795591182364728,-399.2690457079878
212,-489.8418823134107,0,0.177374749498998,-398.8835888110463
213,-597.0806805728002,0,0.1767935871743487,-404.30570193761395
214,-628.2161746281918,0,0.1762124248496994,-407.1384678393546
215,-442.17858554099104,0,0.17563126252505012,-404.9069791682959
216,-580.0563926079255,0,0.1750501002004008,-405.4281327558173
217,-554.8320094380908,0,0.17446893787575152,-410.0530025163699
218,-654.0572329640202,0,0.1738877755511022,-415.1499307427201
219,-369.2627092191964,0,0.1733066132264529,-413.21188344000876
220,-434.1639526087402,0,0.1727254509018036,-415.2805434523762
221,-239.20337275986833,0,0.1721442885771543,-412.89103749610854
222,-107.834907398322,0,0.17156312625250503,-408.3324033694045
223,-692.0423267754516,0,0.17098196392785572,-413.60610236130714
224,-611.7583781021766,0,0.17040080160320642,-416.91614820178285
225,-228.3742775216021,0,0.16981963927855712,-417.67999250772345
226,-640.1763819739351,0,0.1692384769539078,-422.46580673054535
227,-270.32479019727873,0,0.1686573146292585,-419.9031493519952
228,-275.808288054678,0,0.16807615230460923,-417.8761120679612
229,-664.3655897606675,0,0.16749498997995993,-418.1916311242492
230,-660.6454091278512,0,0.16691382765531063,-421.07527654338264
231,-402.8081951947786,0,0.16633266533066132,-423.37171116937657
232,-494.94589213925224,0,0.16575150300601202,-422.67779275304923
233,-130.75302652995651,0,0.16517034068136274,-417.64698090118765
234,-401.0768319122573,0,0.16458917835671344,-416.4187433835491
235,-151.07471218829278,0,0.16400801603206414,-416.6150021414138
236,-557.4199048407974,0,0.16342685370741483,-420.32020446603275
237,-284.59900887123064,0,0.16284569138276553,-421.5795615806726
238,-483.06064513688773,0,0.16226452905811625,-422.3690664393344
239,-186.25648713481473,0,0.16168336673346695,-423.0075294641296
240,-295.77857719732657,0,0.16110220440881765,-423.29286704176513
241,-537.2865345268203,0,0.16052104208416834,-422.2695316511651
242,-514.0018302690414,0,0.15993987975951904,-423.7102008366014
243,-428.25252724247514,0,0.15935871743486973,-421.123645300438
244,-211.64822380990478,0,0.15877755511022046,-419.63894058055985
245,-374.4316123164207,0,0.15819639278557115,-419.1141492181011
246,-420.40492557576806,0,0.15761523046092185,-420.427290178385
247,-653.3684618183482,0,0.15703406813627255,-421.6608315052297
248,-437.44132455414734,0,0.15645290581162324,-420.87537234756877
249,-479.2759259284368,0,0.15587174348697397,-420.51135870993477
250,-245.2129608061906,0,0.15529058116232466,-420.54012270225786
251,-415.6975793875861,0,0.15470941883767536,-417.8545731906766
252,-177.10308093960703,0,0.15412825651302606,-416.2538873521998
253,-128.7462077984195,0,0.15354709418837675,-411.2975047438211
254,-623.0872396715399,0,0.15296593186372745,-411.2407545030825
255,-306.4669466391334,0,0.15238476953907817,-407.48855467954047
256,-384.83858215833425,0,0.15180360721442887,-407.54562638697104
257,-148.2214407315263,0,0.15122244488977957,-403.0873220286685
258,-222.34580405444268,0,0.15064128256513026,-403.6756671103768
259,-377.15344094453746,0,0.15006012024048096,-404.0569608010471
260,-101.11132549497347,0,0.14947895791583168,-400.42408682787044
261,-619.1994919955644,0,0.14889779559118238,-405.46812515469736
262,-361.39658589377075,0,0.14831663326653308,-403.78452998720337
263,-352.1240079099243,0,0.14773547094188377,-405.55754499094735
264,-457.19783424548916,0,0.14715430861723447,-404.9114987450536
265,-653.0080494660192,0,0.14657314629258517,-407.1700554297238
266,-172.29300656295277,0,0.1459919839679359,-403.96822787599916
267,-180.51579006472684,0,0.1454108216432866,-401.50735329507444
268,-138.8181896952907,0,0.14482965931863728,-397.2507097350003
269,-174.99734690342075,0,0.14424849699398798,-394.90018101325336
270,-220.0733351846672,0,0.14366733466933868,-391.6721237792803
271,-217.43936097992065,0,0.1430861723446894,-387.9372354016681
272,-407.7782790271207,0,0.1425050100200401,-389.20678939958003
273,-190.0712967576058,0,0.1419238476953908,-388.8876744840813
274,-173.73363279080058,0,0.1413426853707415,-383.72359533606163
275,-372.1434145510287,0,0.14076152304609219,-386.7169255856191
276,-407.65059844560665,0,0.14018036072144288,-386.3411481546165
277,-446.7835094883351,0,0.1395991983967936,-388.70189016786
278,-410.60232168203487,0,0.1390180360721443,-387.47781165519933
279,-309.7451124909657,0,0.138436873747495,-388.83688378242033
280,-304.4729979089996,0,0.1378557114228457,-386.99148634467696
281,-368.1227437782477,0,0.1372745490981964,-386.2570554302656
282,-306.0271897891904,0,0.13669338677354712,-382.51130894223667
283,-173.88963771730653,0,0.1361122244488978,-378.4926723716942
284,-481.9899841102615,0,0.1355310621242485,-381.5314148177269
285,-419.1025377211053,0,0.1349498997995992,-382.13942279079424
286,-610.6704281646748,0,0.1343687374749499,-381.7996659526923
287,-629.1820218484347,0,0.13378757515030062,-386.20169852563413
288,-627.496866542518,0,0.13320641282565132,-387.51050221942756
289,-299.6272332207607,0,0.13262525050100202,-385.5489948366819
290,-324.77898318555214,0,0.13204408817635271,-385.915800140871
291,-306.75739710920345,0,0.1314629258517034,-385.57615959945514
292,-181.06841025167444,0,0.1308817635270541,-385.10501120555784
293,-577.8709196188067,0,0.13030060120240483,-389.65950795434765
294,-381.3133258119347,0,0.12971943887775553,-391.6733342907621
295,-435.24037955740147,0,0.12913827655310622,-393.62512922512667
296,-257.4133704633471,0,0.12855711422845692,-393.123651319602
297,-144.09174166782088,0,0.12797595190380762,-388.2058983198342
298,-181.6422008941381,0,0.12739478957915834,-387.885641611263
299,-366.8974382968283,0,0.12681362725450904,-387.19553906677487
300,-514.0691015090101,0,0.12623246492985973,-387.64395374465016
301,-666.7130130518008,0,0.12565130260521043,-387.5260368085077
302,-155.36453558550932,0,0.12507014028056113,-387.5794981985221
